Alpha,Beta,Delta,RMSE,R2,RE
0.01,0.01,0.00,13.8840,0.7083,0.8670
0.01,0.02,0.01,11.8852,0.7862,0.8668
0.01,0.06,0.05,10.1044,0.8454,0.8588
0.01,0.11,0.10,9.8171,0.8542,0.8505
0.01,0.26,0.25,8.9220,0.8795,0.8755
0.01,0.51,0.50,9.0142,0.8770,0.8767
0.01,1.01,1.00,9.1162,0.8742,0.8749
0.01,2.01,2.00,9.2072,0.8717,0.8700
0.01,5.01,5.00,9.4000,0.8663,0.8802
0.01,10.01,10.00,9.6946,0.8578,0.8760
0.10,0.10,0.00,10.3215,0.8388,0.8202
0.10,0.11,0.01,10.1657,0.8436,0.8234
0.10,0.15,0.05,9.8409,0.8534,0.8357
0.10,0.20,0.10,9.6133,0.8602,0.8497
0.10,0.35,0.25,9.2389,0.8708,0.8564
0.10,0.60,0.50,8.9834,0.8779,0.8736
0.10,1.10,1.00,9.2885,0.8694,0.8694
0.10,2.10,2.00,9.4032,0.8662,0.8747
0.10,5.10,5.00,9.5503,0.8620,0.8746
0.10,10.10,10.00,9.7281,0.8568,0.8857
0.50,0.50,0.00,9.6650,0.8586,0.8448
0.50,0.51,0.01,9.7338,0.8566,0.8327
0.50,0.55,0.05,9.4368,0.8652,0.8472
0.50,0.60,0.10,9.1663,0.8729,0.8588
0.50,0.75,0.25,9.3477,0.8678,0.8467
0.50,1.00,0.50,9.3223,0.8685,0.8644
0.50,1.50,1.00,9.4747,0.8642,0.8698
0.50,2.50,2.00,9.5681,0.8615,0.8697
0.50,5.50,5.00,9.5657,0.8615,0.8748
0.50,10.50,10.00,9.6497,0.8591,0.8749
1.00,1.00,0.00,9.8991,0.8517,0.8169
1.00,1.01,0.01,9.5499,0.8620,0.8359
1.00,1.05,0.05,9.5190,0.8629,0.8320
1.00,1.10,0.10,9.4691,0.8643,0.8375
1.00,1.25,0.25,9.2880,0.8695,0.8561
1.00,1.50,0.50,9.2362,0.8709,0.8674
1.00,2.00,1.00,9.3507,0.8677,0.8632
1.00,3.00,2.00,9.3885,0.8666,0.8681
1.00,6.00,5.00,9.6640,0.8587,0.8779
1.00,11.00,10.00,9.8414,0.8534,0.8752
1.50,1.50,0.00,9.5366,0.8624,0.8400
1.50,1.51,0.01,9.3881,0.8666,0.8639
1.50,1.55,0.05,9.5247,0.8627,0.8468
1.50,1.60,0.10,9.5349,0.8624,0.8442
1.50,1.75,0.25,9.3205,0.8685,0.8485
1.50,2.00,0.50,9.2369,0.8709,0.8516
1.50,2.50,1.00,9.4119,0.8659,0.8711
1.50,3.50,2.00,9.4104,0.8660,0.8662
1.50,6.50,5.00,9.7110,0.8573,0.8678
1.50,11.50,10.00,10.1335,0.8446,0.8836
2.00,2.00,0.00,9.4781,0.8641,0.8530
2.00,2.01,0.01,9.7900,0.8550,0.8510
2.00,2.05,0.05,9.6395,0.8594,0.8669
2.00,2.10,0.10,9.3746,0.8670,0.8488
2.00,2.25,0.25,9.6073,0.8603,0.8572
2.00,2.50,0.50,9.3995,0.8663,0.8634
2.00,3.00,1.00,9.9966,0.8488,0.8586
2.00,4.00,2.00,9.2891,0.8694,0.8686
2.00,7.00,5.00,9.3339,0.8682,0.8778
2.00,12.00,10.00,9.5100,0.8631,0.8651
5.00,5.00,0.00,9.9572,0.8500,0.8320
5.00,5.01,0.01,9.5932,0.8607,0.8466
5.00,5.05,0.05,9.6043,0.8604,0.8509
5.00,5.10,0.10,9.9265,0.8509,0.8516
5.00,5.25,0.25,9.9253,0.8509,0.8516
5.00,5.50,0.50,9.7642,0.8557,0.8380
5.00,6.00,1.00,9.7147,0.8572,0.8601
5.00,7.00,2.00,9.8333,0.8537,0.8646
5.00,10.00,5.00,9.5770,0.8612,0.8665
5.00,15.00,10.00,9.2704,0.8699,0.8624
10.00,10.00,0.00,9.7946,0.8548,0.8481
10.00,10.01,0.01,9.5658,0.8615,0.8501
10.00,10.05,0.05,9.5540,0.8619,0.8477
10.00,10.10,0.10,9.6722,0.8584,0.8371
10.00,10.25,0.25,9.9278,0.8508,0.8452
10.00,10.50,0.50,9.7206,0.8570,0.8562
10.00,11.00,1.00,9.6172,0.8600,0.8552
10.00,12.00,2.00,9.4617,0.8645,0.8587
10.00,15.00,5.00,9.4014,0.8662,0.8607
10.00,20.00,10.00,9.9081,0.8514,0.8806